Product Name,Ingredients,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Calories,Calcium (mg),Sodium (mg),Healthy (1/0),Reason
Maggi,"Wheat Flour, Palm Oil, Salt, Spices",3,60,12,2,3,369,21,1100,0,"High sodium, low fiber"
Maggi,"Whole Wheat Flour, Palm Oil, Salt, Spices",6,58,10,6,2,347,26,1000,1,"Higher fiber due to whole wheat, moderate sodium"
Maggi,"Rice Flour, Palm Oil, Salt, Spices",3,62,14,1,3,371,15,1049,0,"High sodium, low protein and fiber"
Maggi,"Oats, Palm Oil, Salt, Spices",7,55,9,6,2,343,29,948,1,"High fiber, moderate sodium, balanced nutrition"
Maggi,"Wheat Flour, Dehydrated Vegetables, Salt, Spices",3,58,11,3,4,362,18,1079,0,"High sodium, low fiber, moderate fat"
Maggi,"Wheat Flour, Chicken Flavor, Palm Oil, Spices",5,59,12,1,1,371,13,1121,0,"High sodium, low fiber, moderate protein"
Maggi,"Wheat Flour, Cheese Powder, Palm Oil, Salt, Spices",7,62,13,0,4,393,34,1152,0,"High sodium and fat, moderate carbs and protein"
Maggi,"Wheat Flour, Palm Oil, Salt, Masala Spices",6,60,14,1,3,369,19,1100,0,"High sodium, low fiber"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Onion)",6,61,12,2,0,368,20,1101,0,"Similar to classic, no onion but high sodium"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Garlic)",7,60,12,4,2,367,21,1091,0,"Similar to classic, no garlic but high sodium"
Oats,"Oats, Salt",13,54,3,6,0,316,40,119,1,"High fiber, moderate carbs, low sugar and sodium"
Oats,"Oats, Honey, Salt",11,60,4,7,8,356,36,130,1,"Moderate fiber, high sugar from honey, moderate sodium"
Oats,"Oats, Dried Fruits (Raisins, Apples), Salt",12,59,6,7,14,358,39,125,1,"Higher sugar content, balanced fiber and protein"
Oats,"Oats, Almonds, Salt",14,53,8,9,3,355,61,110,1,"High protein and fiber from almonds, low sugar and sodium"
Oats,"Steel-Cut Oats, Salt",15,49,4,9,1,339,36,107,1,"High fiber and protein, low sodium and sugar"
Oats,"Oats, Cinnamon, Salt",12,56,4,7,5,333,30,121,1,"Moderate sugar from cinnamon, high fiber, and low sodium"
Oats,"Oats, Chia Seeds, Salt",14,55,8,10,0,384,50,110,1,"High fiber and healthy fats from chia seeds, low sugar and sodium"
Oats,"Gluten-Free Oats, Salt",14,56,4,12,0,332,35,116,1,"High fiber, suitable for gluten-sensitive consumers, low sugar"
Oats,"Organic Oats, Salt",15,53,3,9,2,324,31,99,1,"High fiber, low sodium, organic product"
Oats,"Oats, Cocoa Powder, Sugar, Salt",11,61,5,6,13,377,19,135,0,"High sugar from chocolate, moderate protein and fiber, high sodium"
Lays,"Potatoes, Vegetable Oil, Salt",3,14,11,1,0,151,10,170,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Salt, Vinegar",2,14,9,2,0,147,15,212,0,"High sodium, moderate fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Sour Cream, Onion Powder, Salt",2,15,10,2,1,160,12,179,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Barbecue Seasoning, Salt",3,17,10,0,1,159,16,200,0,"High sodium, moderate carbs and sugar, low fiber"
Lays,"Potatoes, Cornstarch, Salt, Sugar, Sunflower Oil",2,21,2,1,2,133,8,180,1,"Lower fat, higher carbs, moderate sodium"
Lays,"Potatoes, Cornstarch, Sour Cream, Onion Powder, Salt",1,22,4,2,3,137,10,189,1,"Lower fat, moderate sodium, moderate carbs"
Lays,"Potatoes, Vegetable Oil, Flamin' Hot Seasoning, Salt",2,17,11,1,1,157,8,220,0,"High fat, high sodium, low fiber"
Lays,"Potatoes, Vegetable Oil, Jalapeno Seasoning, Salt",4,18,9,3,1,153,10,200,0,"High sodium, moderate carbs and fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Salt",4,16,12,0,0,151,6,160,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Light Salt",4,14,11,1,0,139,4,106,1,"Lower sodium, moderate fat and carbs"
Biscuits,"Whole Wheat Flour, Sugar, Vegetable Oil, Salt",4,20,5,2,5,161,15,122,1,"High fiber from whole wheat, moderate sugar"
Biscuits,"Refined Flour, Sugar, Vegetable Oil, Cream, Salt",2,25,11,0,14,230,8,179,0,"High sugar and fat content, low fiber"
Biscuits,"Wheat Flour, Sugar, Palm Oil, Salt, Malt Extract",2,21,6,3,7,161,8,109,1,"Low fat, moderate sugar, suitable for light snacking"
Biscuits,"Oats, Sugar, Vegetable Oil, Salt",4,19,9,3,6,182,17,125,1,"High fiber from oats, moderate fat and sugar"
Biscuits,"Refined Flour, Sugar, Chocolate Chips, Vegetable Oil, Salt",4,29,10,1,18,284,11,200,0,"High sugar, high fat, low fiber"
Biscuits,"Refined Flour, Butter, Sugar, Salt",2,25,15,1,11,276,9,150,0,"Very high fat, high sugar, very low fiber"
Biscuits,"Whole Wheat, Oats, Barley, Sugar, Vegetable Oil, Salt",4,23,6,5,4,199,24,131,1,"High fiber from whole grains, moderate fat and sugar"
Biscuits,"Refined Flour, Cocoa, Sugar, Cream, Vegetable Oil, Salt",2,28,12,1,17,249,14,191,0,"High sugar, high fat, low fiber"
Biscuits,"Whole Wheat, Artificial Sweetener, Vegetable Oil, Salt",3,17,6,2,1,141,8,111,1,"Low sugar, high fiber, suitable for diabetic consumers"
Biscuits,"Refined Flour, Coconut, Sugar, Vegetable Oil, Salt",1,25,8,2,12,226,18,148,0,"High sugar and fat, moderate carbs"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",7,16,10,2,3,189,20,132,0,"High in sugar and calories, with added oils"
Peanut Butter,"Roasted Peanuts, Sugar, Palm Oil, Salt",7,17,9,2,2,196,24,140,0,"Similar to Skippy, high in sugar and calories"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",8,16,9,3,3,201,31,141,0,"Contains added sugars and oils, making it less healthy"
Peanut Butter,"Peanuts, Salt",7,15,6,2,3,178,35,0,1,"No added sugar or oils, healthier option"
Peanut Butter,"Peanuts, Salt",8,16,6,0,1,181,35,0,1,"No added sugars or oils, higher quality choice"
Peanut Butter,"Peanuts, Palm Oil",9,17,9,3,1,200,27,0,1,"Higher fat content, but no added sugar, making it a better choice"
Peanut Butter,"Peanuts, Salt",10,14,7,3,0,179,36,0,1,"No added sugars, only peanuts and salt, healthier option"
Peanut Butter,"Organic Peanuts, Salt",9,17,6,1,0,180,38,1,1,Organic option with no added sugars or oils
Peanut Butter,"Organic Peanuts, Sea Salt",7,17,10,2,1,187,39,1,1,"Organic with no added sugars, healthier option"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",8,15,7,0,1,195,26,130,0,"Similar to Skippy but with added chunky peanuts, still unhealthy"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Skimmed Milk Powder, Chocolate)",3,12,27,2,24,221,39,71,0,"High sugar and fat content, moderate calories"
Chocolate,"Milk Chocolate (Sugar, Peanuts, Corn Syrup, Hydrogenated Palm Oil, Skimmed Milk Powder)",5,10,35,1,29,230,45,61,0,"High in sugar and calories, with added fats"
Chocolate,"Milk Chocolate (Sugar, Glucose Syrup, Skimmed Milk Powder, Cocoa Butter)",3,10,36,2,29,239,36,90,0,"High sugar and fat, moderate calories"
Chocolate,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier (Soy Lecithin)",4,13,14,3,6,210,50,5,1,"Higher cocoa content with less sugar, healthier option"
Chocolate,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier (Lecithin)",5,16,14,6,5,220,56,4,1,"High cocoa percentage, low sugar, good for dark chocolate lovers"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Milk Fat)",3,16,27,0,24,239,40,51,0,"High in sugar and calories, moderate fat content"
Chocolate,"Milk Chocolate (Sugar, Honey, Almonds, Cocoa Butter)",2,13,35,2,25,249,35,44,0,"High sugar and fat, with added honey and almonds"
Chocolate,"Milk Chocolate (Sugar, Cocoa Butter, Peanut Butter)",3,13,26,3,21,230,40,60,0,"High sugar and calories, moderate protein content"
Chocolate,"Dark Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter)",3,14,20,4,18,190,55,9,1,Good dark chocolate option with moderate sugar
Chocolate,Cocoa Mass,4,13,9,4,0,170,59,0,1,"No added sugar, high fiber, very healthy option"
Almonds,Almonds,6,15,7,2,1,159,75,1,1,"Whole, raw almonds; high in healthy fats and nutrients"
Almonds,Almonds,7,15,5,4,2,170,80,1,1,Roasted without added salt; healthy option
Almonds,"Almonds, Honey, Sugar",5,11,25,2,17,200,62,3,0,High in sugar due to honey and added sugar
Almonds,"Almonds, Salt",5,14,7,4,2,170,79,151,0,"High sodium content, making them less healthy"
Almonds,"Almonds, Dark Chocolate",6,14,14,4,10,191,66,4,0,"Contains added sugar from chocolate, making it less healthy"
Almonds,Almonds,7,18,4,2,1,181,85,0,1,Made from ground almonds; healthy fats and protein
Almonds,"Almonds, Water, Calcium Carbonate",1,2,1,0,0,30,302,180,1,Low in calories and sugars; healthy alternative to dairy
Almonds,"Almonds, Spices, Oil",5,14,5,4,1,160,75,1,1,"Contains healthy spices, but check oil content"
Almonds,Blanched Almonds,7,14,6,2,1,161,76,0,1,"Low-carb flour alternative, high in nutrients"
Almonds,"Almonds, Sea Salt",6,14,6,4,0,172,78,180,0,"High sodium content due to sea salt, making it less healthy"
Soup,"Chicken Broth, Noodles, Chicken, Vegetables, Salt",2,2,21,0,1,189,25,889,0,"High in sodium and low in protein, processed ingredients"
Soup,"Tomatoes, Water, Sugar, Salt, Citric Acid",2,1,18,2,6,121,22,479,0,"High in sugar and sodium, processed with low nutritional value"
Soup,"Noodles, Seasoning, Salt, Flavoring",8,12,54,1,0,319,11,1602,0,"High in sodium and fat, processed with little nutritional value"
Soup,"Chicken Broth, Chicken, Vegetables, Rice, Salt",8,2,20,2,2,180,30,649,0,Moderate in sodium; better than some options but still processed
Soup,"Dehydrated Onion, Salt, Sugar, Corn Starch",2,0,18,0,5,108,14,1151,0,"High sodium content and low protein, not a healthy option"
Soup,"Lentils, Vegetables, Vegetable Broth, Spices",10,4,32,9,1,249,36,379,1,"Made with organic ingredients, high in fiber and protein"
Soup,"Chicken Broth, Noodles, Cream, Chicken, Salt",4,8,21,1,2,158,24,821,0,"High in calories and sodium, processed with low nutritional value"
Soup,"Chicken, Vegetables, Chicken Broth, Noodles",11,9,29,3,2,200,30,891,0,"High sodium and calorie content, processed ingredients"
Soup,"Miso Paste, Seaweed, Tofu, Seasonings",0,2,6,1,1,97,40,479,1,"Lower in calories, with good protein and low fat"
Soup,"Vegetables, Vegetable Broth, Herbs, Spices",5,0,20,5,1,150,36,301,1,"Made with organic ingredients, lower in sodium and calories"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices",6,61,13,0,4,369,21,1100,0,"High sodium, low fiber"
Maggi,"Whole Wheat Flour, Palm Oil, Salt, Spices",6,59,9,5,3,344,26,1000,1,"Higher fiber due to whole wheat, moderate sodium"
Maggi,"Rice Flour, Palm Oil, Salt, Spices",5,62,11,2,2,372,16,1051,0,"High sodium, low protein and fiber"
Maggi,"Oats, Palm Oil, Salt, Spices",7,54,10,7,2,344,31,949,1,"High fiber, moderate sodium, balanced nutrition"
Maggi,"Wheat Flour, Dehydrated Vegetables, Salt, Spices",5,58,11,4,3,362,17,1081,0,"High sodium, low fiber, moderate fat"
Maggi,"Wheat Flour, Chicken Flavor, Palm Oil, Spices",7,59,11,2,3,373,16,1119,0,"High sodium, low fiber, moderate protein"
Maggi,"Wheat Flour, Cheese Powder, Palm Oil, Salt, Spices",5,62,14,3,3,396,35,1149,0,"High sodium and fat, moderate carbs and protein"
Maggi,"Wheat Flour, Palm Oil, Salt, Masala Spices",4,60,13,1,0,369,21,1101,0,"High sodium, low fiber"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Onion)",5,60,12,3,1,368,22,1100,0,"Similar to classic, no onion but high sodium"
Maggi,"Wheat Flour, Palm Oil, Salt, Spices (No Garlic)",5,60,11,1,0,368,17,1089,0,"Similar to classic, no garlic but high sodium"
Oats,"Oats, Salt",14,56,3,9,3,316,39,120,1,"High fiber, moderate carbs, low sugar and sodium"
Oats,"Oats, Honey, Salt",12,62,4,5,10,356,34,130,1,"Moderate fiber, high sugar from honey, moderate sodium"
Oats,"Oats, Dried Fruits (Raisins, Apples), Salt",11,58,5,8,16,359,41,126,1,"Higher sugar content, balanced fiber and protein"
Oats,"Oats, Almonds, Salt",13,52,8,10,2,352,59,111,1,"High protein and fiber from almonds, low sugar and sodium"
Oats,"Steel-Cut Oats, Salt",17,51,3,9,0,340,34,105,1,"High fiber and protein, low sodium and sugar"
Oats,"Oats, Cinnamon, Salt",11,55,3,6,3,333,32,120,1,"Moderate sugar from cinnamon, high fiber, and low sodium"
Oats,"Oats, Chia Seeds, Salt",14,56,10,10,2,387,50,110,1,"High fiber and healthy fats from chia seeds, low sugar and sodium"
Oats,"Gluten-Free Oats, Salt",15,54,3,7,2,334,34,114,1,"High fiber, suitable for gluten-sensitive consumers, low sugar"
Oats,"Organic Oats, Salt",14,53,4,9,2,323,30,99,1,"High fiber, low sodium, organic product"
Oats,"Oats, Cocoa Powder, Sugar, Salt",13,60,7,6,14,376,19,135,0,"High sugar from chocolate, moderate protein and fiber, high sodium"
Lays,"Potatoes, Vegetable Oil, Salt",4,16,12,3,0,151,9,169,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Salt, Vinegar",1,14,8,1,0,146,14,211,0,"High sodium, moderate fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Sour Cream, Onion Powder, Salt",1,15,9,2,3,161,11,181,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Barbecue Seasoning, Salt",2,15,8,3,0,159,16,199,0,"High sodium, moderate carbs and sugar, low fiber"
Lays,"Potatoes, Cornstarch, Salt, Sugar, Sunflower Oil",2,23,2,3,2,132,8,183,1,"Lower fat, higher carbs, moderate sodium"
Lays,"Potatoes, Cornstarch, Sour Cream, Onion Powder, Salt",2,20,2,2,3,136,10,190,1,"Lower fat, moderate sodium, moderate carbs"
Lays,"Potatoes, Vegetable Oil, Flamin' Hot Seasoning, Salt",2,18,9,2,1,158,8,219,0,"High fat, high sodium, low fiber"
Lays,"Potatoes, Vegetable Oil, Jalapeno Seasoning, Salt",2,18,9,3,0,152,11,200,0,"High sodium, moderate carbs and fat, low fiber"
Lays,"Potatoes, Vegetable Oil, Salt",2,16,10,0,2,152,9,160,0,"High fat, low fiber, moderate sodium"
Lays,"Potatoes, Vegetable Oil, Light Salt",3,16,10,1,0,138,3,105,1,"Lower sodium, moderate fat and carbs"
Biscuits,"Whole Wheat Flour, Sugar, Vegetable Oil, Salt",4,19,4,3,6,162,16,119,1,"High fiber from whole wheat, moderate sugar"
Biscuits,"Refined Flour, Sugar, Vegetable Oil, Cream, Salt",1,26,10,2,15,229,9,180,0,"High sugar and fat content, low fiber"
Biscuits,"Wheat Flour, Sugar, Palm Oil, Salt, Malt Extract",2,22,7,1,7,163,6,109,1,"Low fat, moderate sugar, suitable for light snacking"
Biscuits,"Oats, Sugar, Vegetable Oil, Salt",3,19,7,4,6,181,19,125,1,"High fiber from oats, moderate fat and sugar"
Biscuits,"Refined Flour, Sugar, Chocolate Chips, Vegetable Oil, Salt",1,32,11,0,18,281,12,198,0,"High sugar, high fat, low fiber"
Biscuits,"Refined Flour, Butter, Sugar, Salt",3,24,15,0,13,275,9,151,0,"Very high fat, high sugar, very low fiber"
Biscuits,"Whole Wheat, Oats, Barley, Sugar, Vegetable Oil, Salt",5,20,7,2,3,201,26,129,1,"High fiber from whole grains, moderate fat and sugar"
Biscuits,"Refined Flour, Cocoa, Sugar, Cream, Vegetable Oil, Salt",3,27,13,1,14,250,13,190,0,"High sugar, high fat, low fiber"
Biscuits,"Whole Wheat, Artificial Sweetener, Vegetable Oil, Salt",3,17,8,3,1,142,10,111,1,"Low sugar, high fiber, suitable for diabetic consumers"
Biscuits,"Refined Flour, Coconut, Sugar, Vegetable Oil, Salt",1,24,9,2,13,227,18,150,0,"High sugar and fat, moderate carbs"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",6,14,6,1,5,189,20,131,0,"High in sugar and calories, with added oils"
Peanut Butter,"Roasted Peanuts, Sugar, Palm Oil, Salt",9,15,8,0,2,194,23,139,0,"Similar to Skippy, high in sugar and calories"
Peanut Butter,"Roasted Peanuts, Sugar, Hydrogenated Vegetable Oil, Salt",10,17,7,3,2,200,31,139,0,"Contains added sugars and oils, making it less healthy"
Peanut Butter,"Peanuts, Salt",7,16,4,0,2,180,35,0,1,"No added sugar or oils, healthier option"
Peanut Butter,"Peanuts, Salt",8,17,4,2,0,180,37,1,1,"No added sugars or oils, higher quality choice"
Peanut Butter,"Peanuts, Palm Oil",8,19,8,2,2,198,26,0,1,"Higher fat content, but no added sugar, making it a better choice"
Peanut Butter,"Peanuts, Salt",9,16,4,2,0,181,35,0,1,"No added sugars, only peanuts and salt, healthier option"
Peanut Butter,"Organic Peanuts, Salt",7,16,5,5,1,181,39,1,1,Organic option with no added sugars or oils
Peanut Butter,"Organic Peanuts, Sea Salt",7,18,7,4,1,186,40,0,1,"Organic with no added sugars, healthier option"
